"filename", "language", "Dart", "comment", "blank", "total"
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\main_page.dart", "Dart", 312, 1, 25, 338
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\models\api_model.dart", "Dart", 51, 0, 6, 57
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\models\character_model.dart", "Dart", 173, 4, 25, 202
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\models\chat_model.dart", "Dart", 104, 0, 11, 115
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\models\comment_model.dart", "Dart", 42, 8, 8, 58
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\models\daos\message_dao.dart", "Dart", 81, 0, 9, 90
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\models\message_model.dart", "Dart", 62, 1, 11, 74
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\models\moment_model.dart", "Dart", 68, 8, 16, 92
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\models\prompt_model.dart", "Dart", 120, 0, 17, 137
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\pages\character\character_selector.dart", "Dart", 125, 0, 11, 136
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\pages\character\contacts_page.dart", "Dart", 134, 6, 11, 151
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\pages\character\edit_character_page.dart", "Dart", 729, 5, 36, 770
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\pages\character\personal_page.dart", "Dart", 297, 14, 35, 346
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\pages\chat\chat_detail_page.dart", "Dart", 788, 46, 47, 881
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\pages\chat\chat_page.dart", "Dart", 96, 0, 8, 104
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\pages\chat\edit_chat.dart", "Dart", 454, 33, 27, 514
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\pages\chat\new_chat.dart", "Dart", 197, 0, 16, 213
"d:\workshop\Flutter\FlutterStudy\flutter_example\lib\chat-app\pages\chat\prompt_preview_page.dart", "Dart", 109, 1, 10, 120
